epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.4981644953366262,0.5344234736342179,0.7687535250987028,0.7236842105263158
2,0.4510573173940888,0.5610548213908547,0.7811618725324309,0.6421052631578947
3,0.4493205906036407,0.4875632759771849,0.7946982515510435,0.7736842105263158
4,0.41940911743712167,0.4500318778188605,0.8037225042301185,0.781578947368421
5,0.41200975321540034,0.428807027402677,0.8251551043429216,0.7894736842105263
6,0.3958913804579776,0.730366305301064,0.838127467569092,0.7078947368421052
7,0.36664603101756704,0.3668030704322614,0.8420755781161873,0.8289473684210527
8,0.3490393586704708,0.4045614358625914,0.85053581500282,0.8236842105263158
9,0.3207195572643312,1.00445423753638,0.8702763677382966,0.6078947368421053
10,0.315287198251543,0.9789528395000257,0.8697123519458545,0.6578947368421053
11,0.2973569705704142,1.818489354535153,0.8787366046249295,0.5947368421052631
12,0.26182941227596623,0.7987230558144419,0.8950930626057529,0.618421052631579
13,0.2779497189738289,0.5355902263992711,0.8809926677946982,0.7973684210526316
14,0.2382415577777684,0.2651164291720641,0.9069373942470389,0.8868421052631579
15,0.223814839941596,0.5693475764048727,0.9148336153412295,0.7947368421052632
16,0.23277994017108847,0.3960718339995334,0.9097574732092498,0.8631578947368421
17,0.21408171219739683,0.8253304732473273,0.9069373942470389,0.7789473684210526
18,0.2015628692159798,0.2717317399225737,0.9210377890580936,0.8763157894736842
19,0.22308433580317877,1.3697319018213372,0.913141567963903,0.6263157894736842
20,0.21247171554703936,0.34440718920607316,0.9137055837563451,0.8789473684210526
21,0.18345275662053592,0.23648646975818433,0.9317540891144952,0.9026315789473685
22,0.18181171265283144,0.22015729326950875,0.9345741680767061,0.9078947368421053
23,0.17242744127976578,0.22103599372662996,0.934010152284264,0.9184210526315789
24,0.1714967869461692,0.1765809129727514,0.9396503102086858,0.9394736842105263
25,0.18069352528098204,0.5101088373284591,0.9311900733220531,0.7921052631578948
26,0.16183312531419886,0.1879349281913356,0.9413423575860124,0.9184210526315789
27,0.17772345714695495,0.17425627143759476,0.9396503102086858,0.9368421052631579
28,0.1651589120352127,0.22349063887407905,0.937394247038917,0.9052631578947369
29,0.16607336311675167,0.15899200847274378,0.9368302312464749,0.9421052631578948
30,0.1566087649121368,0.16987721951384294,0.9452904681331077,0.9315789473684211
31,0.1574634734648335,0.1586864206351732,0.9396503102086858,0.9368421052631579
32,0.15453554655425775,0.17570897481943432,0.9402143260011281,0.9289473684210526
33,0.1578353231345202,0.22391026271016976,0.9424703891708968,0.8947368421052632
34,0.15465878085083565,0.16330948346539548,0.9323181049069373,0.9421052631578948
35,0.14813309498194308,0.15425021624878832,0.9469825155104343,0.9473684210526315
36,0.1469371958777048,0.15456913521415308,0.9531866892272983,0.9394736842105263
37,0.1477980411034214,0.1429155015631726,0.9424703891708968,0.95
38,0.14840297628292848,0.21820530562024368,0.9447264523406655,0.8921052631578947
39,0.14967997427199833,0.14848994157816234,0.9435984207557812,0.9473684210526315
40,0.141337362184776,0.16521606900190053,0.9509306260575296,0.9342105263157895
41,0.1370488425230348,0.15555186177554883,0.9526226734348562,0.9368421052631579
42,0.14381391807205585,0.15373463450293792,0.9503666102650874,0.9368421052631579
43,0.14881180151582638,0.2121218633494879,0.9458544839255499,0.9052631578947369
44,0.12885478185568566,0.1446841156796405,0.952058657642414,0.9394736842105263
45,0.13002460114174622,0.13755184427687997,0.9560067681895094,0.95
46,0.13342797699044534,0.14439574934934316,0.9531866892272983,0.9368421052631579
47,0.13861868215763698,0.15143199633610877,0.9481105470953187,0.9394736842105263
48,0.1387096464264144,0.13477600593315928,0.9486745628877609,0.9552631578947368
49,0.14324382769056315,0.14969259186794884,0.943034404963339,0.9447368421052632
50,0.13516799790403364,0.154999977350235,0.9486745628877609,0.9421052631578948
